fecha,comentario,categoria,sentimiento,confianza
2026-09-08,Fue un regalo para reyes. Quedó encantada ya que es un regalo muy original.,home,positive,0.9206532835960388
2026-09-12,Mi idea era enchufar el cable hdmi a la tv y en el usb hembra poner un disco duro externo o un usb para ver pelis pero no me funciona.,wireless,negative,0.7225762009620667
2026-06-24,El diseño no se parece en nada a los de la foto,home,negative,0.943868100643158
2026-06-03,Si tienes las rejillas de ventilación muy rectas el móvil se queda un poco mirando hacia abajo No se puede regular en altura,wireless,negative,0.5920785665512085
2026-06-22,Los mejores calcetines del mundo!! Los pongo todo los días para trabajar. Y siguen aguantando,apparel,positive,0.988021969795227
2026-07-23,"Me ha gustado muy práctico y con mucho surtido, como viene en la foto.",apparel,positive,0.8820140361785889
2026-06-02,"Lo quería sobre todo para saber cómo me afecta el alcohol a mí concretamente, y saber si con dos cervezas doy positivo por ejemplo. Para probarlo lo usé en unas fiestas de pueblo. Empezamos a beber y cuando llevabamos unas cuantas copas, lo probamos y nos daba muy por debajo del limite. Nos sorprendió pero cuando ya vimos que estaba mal fue a la vuelta de las fiestas que llevabamos una tajada del 15 y nos ponia que estabamos justo en el limite, con una botella cada uno encima!!!! En resumen, una estafa.",automotive,negative,0.9904877543449402
2026-08-27,Ni un mes y ya no suenan no se q paso solo se escucha a veces cortado y tengo q mover el cable para q funcione pensé q eran mejores,electronics,negative,0.9157848954200744
2026-09-16,No me allegado no puedo dar mi opinión hace más de 2 meses q lo compre y no me yega nada no entiendo esto la verda,apparel,negative,0.9499331712722778
2026-06-30,Una historia entretenida y agil. Un buen libro para pasar un buen rato. De fondo romántico pero con transferencia de intriga de fondo.,digital_ebook_purchase,neutral,0.5499054193496704
2026-07-08,El juego llegó con carátula en francés pero el juego está en perfecto español.,video_games,positive,0.5427334904670715
2026-06-02,"Buen disco duro externo para utilizar tanto con Xbox, como para llevar tus archivos personales de un lado a otro.",pc,positive,0.929688274860382
2026-08-03,Buen smartfhone por un precio equitativo,wireless,positive,0.8240551948547363
2026-07-30,Buen precio y buen producto,wireless,positive,0.904613435268402
2026-06-21,No hace su función. No sella ninguna botella ni nada.,home,negative,0.9793367385864258
2026-07-03,Lo veo para niños un poco mas mayores pone a partir de 2 pero minimo es para 3 ya que es para pintar y pegar las pegatinas de circulos de colores,book,neutral,0.583168089389801
2026-08-15,"esta todo bien, de calidad precio no esta mal. aunque debería ser un poco mas económico.",furniture,positive,0.5389436483383179
2026-07-28,El producto en sí está bien. Pero el problema es que aveces se cae la tapita.,wireless,neutral,0.6974863409996033
2026-06-22,"El teléfono no se puede usar, la base no tiene donde conexión para el cable de telefonía. Debe formar parte de un conjunto y este es el supletorio. El solo no sirve para nada. La rapidez de Amazon como siempre, muy buena y espero no tener ningún problema en la devolución.",wireless,negative,0.9461635947227478
2026-09-16,"En cualquier tienda te valdría una sola entre 8 y 10 euros... Creo que merece bastante la pena, ya que te sale a 1,5 la unidad. La única pega es que en los bordes no tiene plástico o otro material para que no deslice en la mano. Adjunto foto para que se pueda ver el color real de las fundas.",wireless,positive,0.9370389580726624
2026-08-28,"No sirve, a noser que se tenga un pie pequeño. Calzo un 43 y mo me entra el pie. No la recomiendo.",personal_care_appliances,negative,0.9753981232643129
2026-07-19,"El producto es engañoso, pues los globos de colores, aunque pone claramente que es lo que se compra, no vienen incluidos. Solo vienen las 30 bombillas sin más. No recomendable, es un timo.",home,negative,0.9895997047424316
2026-08-30,Se ajusta a lo que yo quería. Me será útil para utilizarlo para lo que yo necesito. Buena compra y entrega. Tendré presente al vendedor para próximas ocasiones,automotive,positive,0.7950839400291443
2026-07-29,Esperaba una mejor calidad,home_improvement,neutral,0.5053336024284363
2026-07-12,"Malísimo, se descosen, se deshilachan, se les salen las platinas, las usaba para dormir y en la cama quedaban pedacitos de los cierres.",drugstore,negative,0.995070219039917
2026-08-31,"el enchufe funciona correctamente y se puede vincular a alexa, se puede programar horario. Lo que no me ha gustado es que esté continuamente el led encendido (y gastando).",home_improvement,neutral,0.6277764439582825
2026-07-30,"En la descripción ponía que vienen 4 unidades y me ha llegado solo una,no compréis!!!",beauty,negative,0.9921253323554992
2026-08-19,"Tras limpiar los discos de freno de una bicicleta (xt) no frena nada. Tras un rato frenando para intentar que adquiera fricción de nuevo, sigue sin frenar.Quizá no sea adecuado para bicis.",automotive,negative,0.8529772162437439
2026-06-15,"NO LA ESCRIBO SOBRE EL PRODUCTO ES POR EL GILIPOLLAS MAS RICO DEL MUNDO QUE ME DEVUELVAN MI DINERO YA PARTIA DE CHORIZOS ,, PER DEIS UN GRAN COMPRADOR ON LINE CHORIZOS",home_improvement,negative,0.9406207203865052
2026-08-01,"Tiene muy buena calidad pero como dicen en otros comentarios es engañoso puesto que solo viene uno, tendrian que ponerlo y ademas dar la opción de elegir que modelo exactamente se quiere comprar, porque nosotros por ejemplo queríamos la vaquita y nos tocó el mono",baby_product,neutral,0.5544546246528625
2026-08-01,"Curiosamente con el tiempo se han empezado a romper algunas teclas pero el teclado al que sustituía, idéntico, las tenía todas, asi que asumo que la calidad de producción del mismo teclado ha bajado.",pc,negative,0.5328116416931152
2026-07-17,"Lo mas importante para mi era el ajuste de balance... del cual este dispositivo no dispone, por esto le pongo solo 3 estrellas...",electronics,neutral,0.9736579060554504
2026-08-01,"Se adapta a cualquier sitio: lavabo, fregadero, bidé. A veces cuesta que se quede taponando el desagüe. Pero en general bastante bien. Hace su trabajo",home,positive,0.6801292896270752
2026-07-21,"Me ha llegado esta mañana y mi mayor descontento no con el teclado ""que funciona bien"" sino con que fuera un producto usado. Sospechoso que despues de haber visto varias reviews todo estaba abierto y fuera de su plastico, metido a conciencia para devolución, con algunas marcas de polvo y una gotita de saliba en la letra Q. Falta la pegatina de Asus que viene de regalo. Ultimamente AMAZON es simbolo de MIEDO a lo que te llega. He pagado 150€ por un producto ""NUEVO"" y no reacondicionado, devuelto por otra persona o de 2ª mano.",pc,negative,0.9878519773483276
2026-09-16,Aún no las he montado pero se ven de muy buena calidad,automotive,positive,0.9186573028564452
2026-07-25,"No parece de muy buena calidad, bastante básico, era por un encargo, no para mí",home,negative,0.6130542159080505
2026-08-03,Para mi había solicitado un paquete y se ma ha enviado y cobrado dos. Hay alguna forma de devolver uno?,office_product,negative,0.8739467263221741
2026-06-03,"Compré estos tiradores para sustituir los tiradores rotos de las mochilas y neceseres, que ya se nos acumulaban. Ha funcionado a la perfección para todo y se ve de buena calidad.",home,positive,0.9833548665046692
2026-09-09,"Por la cantidad de opiniones favorables me animé a comprar este paraguas. El resultado fue decepcionante, ha durado lo mismo que otros paraguas nisu de los que venden en los chinos.",luggage,negative,0.98065185546875
2026-07-21,Producto original de excelente calidad y a muy buen precio.,wireless,positive,0.9904490113258362
2026-06-07,No es muy ancha es solo tipo top de anchura para q os hagáis a la idea yo pedí la talla m pero tenía que a ver pedido una s porq cede demasiado y encima es poco ancha no lo recomiendo no es como la foto,apparel,negative,0.904857575893402
2026-06-21,Muy buen álbum de fotos con las páginas en negro y lazo negro de raso para cerrarlo.,home,positive,0.7406034469604492
2026-08-12,Llegó antes de la fecha,electronics,positive,0.7230514287948608
2026-07-09,"No es de terciopelo como en la foto y parece un poco más blando, mi amiga lo compró Antes y es como en la foto, el q he recibido es de tela calada, no tiene la misma forma y parece más pequeño",home,negative,0.6835687160491943
2026-06-18,"La cera es de buana calida, pero llego sin tapar el rodillo individualmente y esto ocasiona que se pegue en todo el envoltorio",beauty,negative,0.5679700970649719
2026-06-04,"El producto no tiene mucha calidad, se caen las cerdas con facilidad y se estropea rápidamente",drugstore,negative,0.7810168862342834
2026-08-28,"Falla su resistencia, al primer golpe se rompe.Ajusta muy bien",wireless,neutral,0.5551410913467407
2026-07-30,"Lo compré en marzo y a finales de julio ya no funciona así que de reforzado nada. Es un cable común que te venden como la bomba, si buscáis algo para siempre este producto no lo es",wireless,negative,0.9874886870384216
2026-06-14,"Super descontentos. De plástico y muy flojo, pero si al menos hubiera funcionado pues por el precio estaria bien. Lo malo que no ha funcionado desde el principio, se apaga continuamente sin motivo y para que funcione tienes que reiniciarlo por completo, hemos cambiado el USB, las opciones, pero no ha habido manera se apaga igualmente. Lo compramos para un regalo para mi madre para ponerle las fotos de los nietos y está súper desilusionada. Lógicamente lo devolvemos.",electronics,negative,0.9945927262306212
2026-06-09,"La figura de funko pop preciosa, pero no le otorgo más estrellas por el embalaje, la caja llegó dañada ,venía en un sobre fino con el interior de burbuja pero insuficiente para proteger el embalaje. Al ser para colección es importante que la caja llegue impecable. Tendría que haber venido más protegido quizás en una caja más grande con burbuja para evitar el daño en el embalaje original.",video_games,neutral,0.7185633778572083
2026-08-29,"Es una cera muy dura, cosa que dificulta mucho su aplicación en el pelo. No sujeta bien y encima deja el pelo sucio. El bote se ha ido directo a la basura. No lo recomiendo si lo que se busca es un producto que moldee y sujete bien el pelo.",beauty,negative,0.9633528590202332
2026-07-23,"No esta mal, pero dura un dia, sin altibajos de descargas",pc,negative,0.486866295337677
2026-06-02,"El recortador llegó a tiempo, como me dijeron,aunque esperaba que hubiera tenido algo de mejor calidad, en fin, a ver lo que dura",beauty,neutral,0.6773090362548828
2026-08-23,BUENA PERO MEJORABLE,wireless,neutral,0.6391435861587524
2026-08-31,"Lo he cogido a muy buen precio pero, para lo que es, un trozo de plástico malo, me parece muy caro. Aunque es cierto que mis hijos tenían muchas ganas de él y juegan mucho con las blade así que no es mala inversión.",toy,negative,0.5257607698440552
2026-07-30,No carga el móvil. Supongo pierde potencia con la distancia.,pc,negative,0.95741206407547
2026-08-10,"No está nada mal pero en la primera caída salto por los aires y quedó inservible. No le recomiendo para MTB, sólo para urbano. Es una pena porque me gustaba mucho.",sports,negative,0.5810526609420776
2026-07-14,"A la primera las reconoce. Buena calidad, precio y entrega. Contento",office_product,positive,0.9843892455101012
2026-06-08,"El protector de pantalla es lo suficientemente grueso como para proporcionar una protección segura. Pongo mi teléfono en el mismo bolsillo con mis llaves. Sorprendentemente, hay cero rasguños o marcas en el protector de pantalla de vidrio.",pc,positive,0.9565621614456176
2026-07-17,Es muy ligero y buena pantalla Es difícil de arrancar y de colocar libros que ya tienes,wireless,positive,0.6809539794921875
2026-07-05,"Demasiado pequeños, tuve que usarlos retirando las protecciones de plástico que llevan porque sino no cabía la madera de la repisa. Por ese precio los he visto mas consistentes en tiendas de bricolaje.",home_improvement,negative,0.6688442826271057
2026-08-17,"Estaba bien, pero al mes de tenerlo ha comenzado a fallar, no sé si es una cuestión de configuración, o qué. Además cuando hablo con alguien se me activan otras funciones al tener el roce con la cara. No estoy muy contenta.",wireless,negative,0.9154002666473388
2026-08-20,Excelente pero falta cable de conexión. . . . . . . . . . . . . . . . .,electronics,positive,0.7199764251708984
2026-07-06,"Me ha gustado mucho la calidad de la camiseta y de la impresión. Envió rápido y buen precio. es para regalo por lo que no se si la talla será la correcta, pero aparenta un tallaje normal. recomendable.",apparel,positive,0.7955825328826904
2026-07-20,Escepcional. Muy robusto y muy buen diseño. Enlace perfecto por bluetooth con iPhone XS. Compra muy recomendable,wireless,positive,0.9893836379051208
2026-09-12,"BUENA HERRAMIENTA Y A BUEN PRECIO, ENVIO RAPIDO, MUY HUTILES Y DE GRANDES ACABADOS, BUEN EMBALAJE . GRACIAS Y SALUDOS",home_improvement,positive,0.89113450050354
2026-06-04,Es muy cómodo para tenerlo en el despacho sobre la mesa mientras se cargan ambos aunque al tener el reloj en posición vertical no se activa el modo despertador.,wireless,positive,0.6069676280021667
2026-06-02,"Aunque a priori el producto parece bueno, me ha tardado un día más en llegar, el producto venía con la caja rota, abierto y previsiblemente usado. Una experiencia no del todo positiva",other,negative,0.7804803252220154
2026-06-06,"ha empezado a gotear (2 meses de uso), es frágil el cierre de agua y se tambaleaba mucho. (Me lo estaba oliendo). Ahora a llamar un fontanero y 40€.",home_improvement,negative,0.9188666343688964
2026-07-24,"No es muy elástico, por lo que cuándo el bebé crece un poco ya queda apretadito (en mi caso que tengo pechos grandes la tira no es suficientemente elástica para estar cómodo).",baby_product,neutral,0.5381702780723572
2026-09-14,Exactamente tal y como detallaba la información del producto. Una batería externa para que mi pareja pueda cargar el móvil. Lo llevarán el bolso y siempre le saca de un apuro.,wireless,positive,0.95235675573349
2026-06-04,"Esto no es un libro, ni se acerca. Son 4 malos consejos, que no merecen gastar el tiempo leyéndolos. Cualquier búsqueda en Internet te da mejores consejos.",digital_ebook_purchase,negative,0.998068630695343
2026-07-24,"Recopilación muy bien fundamentada sobre las últimas investigaciones del comportamiento no verbal, tiene varios capítulos que pueden ser útiles a diferentes profesionales que se sirvan de esta disciplina, bien para su estudio teórico o como aplicación práctica. Ya es hora de hablar con propiedad, y basándose en la psicología de la evidencia, con estudios y datos objetivos, derribar tópicos y mitos. No obstante, le doy un 0 a la editorial por la mala calidad del libro, parece que hubiera sido realizado en una impresora de chorro de tinta con folios baratos, si lo llego a saber compro la edición Kindle. Pero no quiero que esto desmerezca el trabajo de los autores, que sí merecen las 5 estrellas.",book,negative,0.7901394367218018
2026-09-01,Vino con un enganche del cuello para cerrar el gorro roto. Un poco desilusionada por esto. Ademas tuve problemas con la compañía de envío un desastre. Caro para lo que es. Aunque protege bien de la lluvia.,other,negative,0.5619872808456421
2026-08-02,"Todo correcto, estoy muy satisfecha con la compra, buena es de buena calidad. Ninguna queja, fuerte, y resistente, con el efecto calor y/o sin.",personal_care_appliances,positive,0.9885623455047609
2026-06-18,"aguantan pero se caen al menor roce.. pero el calendario está bien, es práctico y mis hijos lo usa mucho y aprenden con él",toy,neutral,0.7100019454956055
2026-08-29,"Al principio funcionaba súper bien y eres fantástico, después de unos días no iba para nada y eso que lo he limpiado...a lo mejor pienso que se cayo o algo y por eso dejo de ir",home,negative,0.8145354986190796
2026-07-14,"No me mandaron la tarjeta de capacidad que seleccioné. Si quería devolverla o cambiarla tenía que pagar encima los gastos de envío, es decir, pagar por su error",pc,negative,0.9718506932258606
2026-07-04,"Cumple su función. Las argollas pequeñas vienen separadas del conjunto, no entiendo el motivo. Hace que sea fácil perderlas.",kitchen,neutral,0.7265965938568115
2026-08-13,Al mes y medio se rompió. Mientras duró estaba muy bien. El vendedor me devolvió el dinero.,electronics,negative,0.8731412887573242
2026-08-01,No lo volveria a comprar por su escasa potencia,wireless,negative,0.7332349419593811
2026-09-08,Queda una capa de aire entre el protector y la pantalla y no se adhiere.,wireless,negative,0.928686797618866
2026-06-14,para mi hijo es un zapato perfecto por lo comodo que es el usa unas plantillas y le viene de lujo por la altura del talon etc recomendables al 100%,shoes,positive,0.9692299962043762
2026-09-03,"Muy contenta y sorprendida con este micrófono ya que la relación calidad-precio es excelente. Se escucha muy bien y su instalación es facilísima, nada más conectar y listo (por lo menos en dispositivos Android). Viene con piezas de repuesto, adaptador, bolsita para guardarlo y una pinza muy práctica para engancharlo en la ropa.",musical_instruments,positive,0.997833788394928
2026-07-18,"Una castaña... Hay marcas muuuuucho mejores para dar color a tu pelo. No se ve nada el color que promete. Pobre en cantidad de producto, te da para cuatro pelos.",beauty,negative,0.9433070421218872
2026-06-15,"Lo compré pensando que iba a ser mejor que el de la tienda, y no me gustó. El sabor es muy extraño, diferente del café ""normal"" y por mí peor, puede ser que no está suficientemente bien tostado. No soy un experto ni nada y puede ser que algo haya hecho mal o simplemento no tengo un gusto suficientemente exquisito, pero no lo recomiendo. Eso sí, el embalaje está bien y la fecha del tostado era muy próxima a la fecha de compra.",grocery,negative,0.9808635711669922
2026-08-11,Cumple con lo esperado,home,positive,0.8045367002487183
2026-08-17,La verdad es q no ha salido buena...se caen las picas y lo de arriba es tan ligero q rompen como nada ..yo no la recomiendo,sports,negative,0.9849135279655457
2026-08-26,He comprado dos y los dos me han durado algo más de un mes. Perfecto hasta que deja de funcionar. Una pena que no dure más. La gente deberia de saber que esto solo es útil para días puntuales ya que para el uso diario sufre desgaste.,kitchen,negative,0.924258589744568
2026-08-01,"No es lo que esperaba, la verdad que no le veo la utilidad.Lo compré porque llevo brackets y es difícil limpiar los espacios interdentales, pero no me ha servido de mucho.",drugstore,negative,0.6050175428390503
2026-07-10,"El cargador en si funciona correctamente, aunque con mi Note 8 hay veces que se vuelve loco y no carga, empieza a parpadear la luz en 2 colores, no se si porque mi telefono es muy grande o porque no funciona bien. Pros: Carga inalámbrica bastante rápida. Refrigerado No hace apenas ruido cuando tiene el ventilador puesto. Contras: No siempre funciona A veces no hace buen contacto y se calienta de más",wireless,neutral,0.7585327625274658
2026-08-24,"No apura bien, raspa demasiado, el cabezal bascula poco y no se adapta a la zona de afeitado, la de 5 hojas es bastante mejor. Debería acoplarse a la maquinilla de 5 hojas.",beauty,negative,0.6934882998466492
2026-08-19,"La calculadora trae unas instrucciones muy escuetas. La verdad es que lo de la euro conversión me da igual, la cojí por la pantalla grande. Pero a la hora de hacer porcentajes los hace mal, no sé como ajustarlo. En otras calculadoras simplemente pongo 50 + 21 y pulso % (esto por ej para que me sume el I.V.A.) y no sale correcto el resultado. La necesito para calcular porcentajes en una tienda y no me está siendo útil. Una faena.",office_product,negative,0.6451394557952881
2026-09-17,Llegan dos platos rotos...servicio al cliente excelente....devuelvo y esperando a la nueva vajilla...espero que llegue entera....,home,negative,0.9289546012878418
2026-08-21,Fatal ni tres meses me durado y de repente se a apagado solo y no funciona no compro un móvil más por aquí el cuarto que me.pasa,wireless,negative,0.9974173307418824
2026-07-23,"A pesar de que anunciaban que el embalaje original no estaría en buen estado llego sin ningún elemento de ese embalaje original. Por lo demás, es el producto anunciado, funciona como debe y no hay que instalar nada en Windows 10. No probado en otros Sistemas operativos.",pc,neutral,0.7743749022483826
2026-06-24,"Llego muy rápido incluso mucho antes de lo que marcaba, lo recomiendo al 100%. El paquete es perfecto sin problema.",home,positive,0.989257514476776
2026-06-26,"No funciona. Metimos los 2 en la nevera, y siguió igual.",furniture,negative,0.9864437580108644
2026-08-28,"Estuche perfecto para las gafas de la marca. El único problema es el precio, un importe elevado.",apparel,positive,0.5414817929267883
2026-07-30,"Cumple, buena calidad pero demasiado grandes.",automotive,neutral,0.5926815867424011
2026-09-17,Parece de juguete. La he devuelto. Era para un regalo y no le ha gustado nada,jewelry,negative,0.9288825392723083
2026-07-11,Me gusta que cubre mucho La Luz del sol y aísla un poco el calor.,home,positive,0.763961672782898
2026-06-29,"Esta muy bien acabada,pero en una vstrom 1000 abs de 2017 en adelante no funciona correctamente, no acopla correctamente y eso hace que no funcione el low rpm assist.",automotive,neutral,0.5478593111038208
2026-06-15,Muy lento en calentar y se derrama todo,kitchen,negative,0.8267586827278137
2026-07-15,"SI TIENES EL PELO RIZADO NO ALISA, PERO PARA LAS QUE LO TENEMOS LISO, AYUDA MUCHO A DEJARLO LACIO Y NO ENCRESPADO, SUAVIZA, PERO ES MUY FLOJO DE SECADO, YO ME LO SECO UN POCO CON EL SECADOR Y LUEGO ACABO CON ESTE CEPILLO.",personal_care_appliances,neutral,0.6728736758232117
2026-08-04,"Bien, pero es demasiado corto. Para cumplir bien su función debería ser algo más largo.",sports,neutral,0.6820139288902283
2026-08-28,Muy buena relación calidad precio. 100% recomendable. Cumple con las características y las fotos ofrecidas en la compra del producto.,wireless,positive,0.99070006608963
2026-08-10,Para quien lo entienda,book,neutral,0.6252651214599609
2026-06-09,Muy mala lo me las habéis enviado así que os podréis imaginar lo disgustado que me puedo encontrar con amazon.,baby_product,negative,0.99788099527359
2026-08-27,"Sí se vende en España, debería traer las instrucciones en español. Es lo que exigiría cualquier país serio.",wireless,neutral,0.5884746313095093
2026-06-01,Artículo adecuado a lo visto en la web. Ha sido un regalo original y bonito. Fue entregado con un día de retraso sobre lo previsto,jewelry,positive,0.6602205634117126
2026-09-16,"Bonito, cómodo, nada voluminoso, muy exacto y no me ha dado ningún problema.",watch,positive,0.9259233474731444
2026-06-08,"Producto correcto y funciona muy bien, pero le quito estrellas porque el cable es muy corto y necesita alargador.",kitchen,neutral,0.7389131784439087
2026-08-27,Va genial pero se rompe demasiado pronto,pc,neutral,0.4564113020896911
2026-08-02,"Acabo de recibir la lámpara, la caja estaba rota, se lo he dicho al mensajero y me ha dicho que no era su culpa, que si estaba mal que reclamara. Al abrirla esta totalmente doblada y con un golpe en el lateral, ahora toca reclamar y esperar para poder poner la lámpara, debería poner que es muy frágil en la caja y en grande ya que si que es muy delicada.",home,negative,0.8642917275428772
2026-06-11,No duró más que un día...muy frágil...para perros medianos,pet_products,negative,0.79718416929245
2026-08-20,"Funko precioso tal y como muestra la fotografía. Muy buena calidad, repetiré la compra sin dudarlo.",toy,positive,0.9861693382263184
2026-06-08,"Estan bien en general, un poco pequeñas las traseras, pero bueno, luego estaria bien que tuvieran un pequeño agujero para poder engancharlas al suelo del coche.",automotive,neutral,0.7345860600471497
2026-07-05,Cada vez les va durando menos el olor. Al principio eran mucho mejor,home,negative,0.6266990303993225
2026-07-05,"El producto bien, pero para mi fitbit versa 2 le quedava pequeño",wireless,neutral,0.6550264954566956
2026-07-03,Un horror y quiero devolverlo . Esto no es lo que he pedido,beauty,negative,0.9973713159561156
2026-06-05,"a mi no me van bien, puede que a otras personas si, las narices no son todas iguales, me hace daño y no puedo llevarlas ni un minuto, su forma de tubo no es la adecuada tendría que ser un poco mas conica.",personal_care_appliances,negative,0.9008779525756836
2026-09-14,Sobre el producto volveré a valorarlo en su día pues ahora mismo lo que quiero decir es que no entiendo que me hayan dado 16 días para que llegue. Por ahora dos estrellas por la demora.,electronics,negative,0.9920387268066406
2026-09-11,"Para empezar hay que tener en cuenta que es la más económica. Sabiendo esto se puede considerar un buen cacharro. El ajuste de las lentes aunque es de plástico se ajusta bien. En la parte baja donde se ajusta el móvil hay unas muecas que encajan en los botones de algunos móviles, yo lo he limado y se acabó el problema, pero hay que tenerlo en cuenta. Lo he probado con vídeos 3D y apps de simuladores, me sorprendió gratamente el sistema. No sé cómo serán las más caras pero por ese precio todos deberíamos tener una jajaja",wireless,positive,0.7299636602401733
2026-07-11,Me extrañaba que viniesen 2 unidades. Pero ya se el porqué. Ya que a la mínima caída del móvil estás se rajan con facilidad. Antes tenía otras que aguantaban bastante más.,wireless,negative,0.5918720960617065
2026-06-28,Muy rápido el pedido,toy,positive,0.9418786764144896
2026-06-07,Las acabo de poner parece que van bien a alumbran algo más las tengo que probar más en carretera a la noche,automotive,positive,0.5800895094871521
2026-08-12,Se lo regale a mi mujer y le encanto creo k es un buen regalo . Cumple con lo descrito,watch,positive,0.8227500915527344
2026-08-11,"Muy comoda y muy guapa, no pesa nada y fuerte",home,positive,0.9743467569351196
2026-06-12,El producto está bastante bien,toy,positive,0.7916808724403381
2026-07-04,"Perfecto estado, buen producto calidad precio y envío correcto y rápido",wireless,positive,0.9615116119384766
2026-07-03,Con el sistema que utiliza no sirve para móviles que tienen la cámara centrada en vez de a un lado como el de la foto.,camera,negative,0.9148601293563844
2026-07-18,Libro de tapa dura que llega en perfecto estado como regalo para mi hija encantada con la sorpresa.,book,positive,0.9393296241760254
2026-06-23,Interesante novela que me ha enganchado hasta el final. Lo que no me termina de agradar de las novelas de esta autora es que los finales se desarrollan muy rápidamente en comparación del resto del libro.,digital_ebook_purchase,positive,0.7457850575447083
2026-08-01,Bien pero no trae cable para conectar,pc,neutral,0.6408451199531555
2026-08-27,"Está bien pero no cubre todo el teléfono por los laterales, así que, debes tener protector de pantalla si no quieres que se te rompa.",wireless,neutral,0.7027335166931152
2026-07-07,"No está mal para el precio que tiene. Da el ""pego"" y para el que quiera colgarla en el campo, esta bien",home,neutral,0.7360302209854126
2026-09-07,"He cambiado la pantalla rota y esta se ve bien, encaja bien, pero tiene el táctil poco sensible, a veces hay que presionar más. No es muy grave, pero si un poco molesto hasta que te acostumbras.",wireless,negative,0.4239647090435028
2026-07-14,"No aconsejo, ya que no es transparente y no se ve bien la pantalla. La he tirado a la basura.",wireless,negative,0.9861860275268556
2026-09-12,"Todo muy bien , aún a pesar de que tuve que cambiarlo, por mala manipulación en el transporte, vino golpeado,",pc,positive,0.6090900301933289
2026-08-25,"El contenido del libro me esta gustando, refleja la psicología de la gente basándose en las sociedades que los individuos forman y como utilizarla si se quiere llegar al poder. Es recomendable leerlo. Pero me parece muy mal que el libro me llegue con una deformación tan característica como la que se ve en las fotos que adjunto, ademas, siendo un libro pequeño y delicado creo que no se lo ha tratado como debería. No es caro y el contenido esta bien, pero me parece realmente mal que algo tan fácil de apilar y embalar como un libro no llegue en perfectas condiciones.",book,neutral,0.7549558877944946
2026-08-30,Esta bien pero no es lo que explica en su descripción ni trae quemadores extras ni cristal de repuesto me siento un poco decepcionado,drugstore,neutral,0.5916808247566223
2026-07-05,"No me han entregado el paquete, donde esta, si pone q me lo han entregado hoy a las 12",other,negative,0.9800180792808532
2026-08-04,"Auriculares de gran calidad y a un precio inmejorable , de todos los bluetooth que he probado son los mejores .",electronics,positive,0.9927547574043274
2026-09-07,"buena compra sobre todo en relación al precio. claro que no es muy solida ni hecha con gran material, pero cumple su función ya que he viajado con ella ya 3 veces y no le ha pasado nada.",luggage,positive,0.5751317143440247
2026-09-09,"Balón de muy buena calidad para el precio que tiene, jugamos con el dos veces a la semana durante varios meses y sigue como nuevo. La única pega es que el orificio donde se inserta la aguja para inflarlo se ha desviado un poco, aún así recomiendo la compra para jugar semi-profesionalmente. El tacto del pie con el balón es perfecto y tiene un bote prácticamente idéntico al de un balón profesional.",sports,positive,0.7478424906730652
2026-07-17,En general esta bien pero se desabrocha con bastante facilidad,sports,neutral,0.705387532711029
2026-08-17,El coche esta estupendo solo que lo mandaron si la lu a delantera. El plastico un poco regulin tiene marcas muy facilmente despues de 2 meses de uso.,toy,neutral,0.5158783793449402
